ProteinID	TPM_max
shortheadLamprey__Unknown__TRINITY_DN7010_c0_g1_i2.p1	1.412443
shortheadLamprey__Unknown__TRINITY_DN7010_c0_g1_i2.p1	1.412443
shortheadLamprey__Unknown__TRINITY_DN945_c4_g1_i1.p1	13.626962
shortheadLamprey__Unknown__TRINITY_DN945_c4_g1_i1.p1	13.626962
shortheadLamprey__Unknown__TRINITY_DN945_c4_g1_i1.p1	13.626962
shortheadLamprey__Unknown__TRINITY_DN86006_c0_g1_i1.p1	5.368784
shortheadLamprey__Unknown__TRINITY_DN10608_c0_g1_i1.p2	7.428115
seaLamprey__Unknown__TRINITY_DN1391_c0_g1_i6.p1	4.459396
seaLamprey__Unknown__TRINITY_DN1391_c0_g1_i6.p1	4.459396
seaLamprey__Unknown__TRINITY_DN18384_c0_g1_i3.p1	1.41303
seaLamprey__Unknown__TRINITY_DN18384_c0_g1_i3.p1	1.41303
seaLamprey__Unknown__TRINITY_DN7178_c1_g1_i1.p1	24.781389
seaLamprey__Unknown__TRINITY_DN80874_c0_g1_i1.p1	2.302967
seaLamprey__Unknown__TRINITY_DN48567_c2_g1_i1.p3	1.246521
seaLamprey__Unknown__TRINITY_DN48567_c2_g2_i1.p2	2.942384
seaLamprey__Unknown__TRINITY_DN143252_c0_g2_i1.p1	2.549398
seaLamprey__Unknown__TRINITY_DN280600_c0_g1_i1.p1	1.575907
arcticLamprey__Unknown__TRINITY_DN37071_c0_g1_i2.p1	16.94888
arcticLamprey__Unknown__TRINITY_DN37071_c0_g1_i2.p1	16.94888
arcticLamprey__Unknown__TRINITY_DN4061_c0_g1_i1.p1	3.625051
arcticLamprey__Unknown__TRINITY_DN4061_c0_g1_i1.p1	3.625051
arcticLamprey__Unknown__TRINITY_DN442_c5_g1_i1.p1	25.0132
arcticLamprey__Unknown__TRINITY_DN442_c5_g1_i1.p1	25.0132
arcticLamprey__Unknown__TRINITY_DN558_c1_g2_i1.p2	21.766916
arcticLamprey__Unknown__TRINITY_DN558_c1_g2_i1.p2	21.766916
arcticLamprey__Unknown__TRINITY_DN75028_c0_g1_i1.p1	1.840788
arcticLamprey__Unknown__TRINITY_DN75028_c0_g1_i1.p1	1.840788
arcticLamprey__Unknown__TRINITY_DN2921_c0_g1_i6.p1	2.6966
arcticLamprey__Unknown__TRINITY_DN2921_c0_g1_i6.p1	2.6966
bluespottedStingray__Unknown__TRINITY_DN1087_c0_g1_i1.p2	520.49338
bluespottedStingray__Unknown__TRINITY_DN6273_c7_g1_i1.p1	2.115063
bluespottedStingray__Unknown__TRINITY_DN12122_c0_g1_i1.p1	4.827777
bluespottedStingray__Unknown__TRINITY_DN12122_c0_g1_i1.p1	4.827777
bluespottedStingray__Unknown__TRINITY_DN15987_c0_g1_i1.p1	1.837067
bluespottedStingray__Unknown__TRINITY_DN15987_c0_g1_i1.p1	1.837067
bluespottedStingray__Unknown__TRINITY_DN39650_c0_g1_i1.p1	2.069679
bluespottedStingray__Unknown__TRINITY_DN39650_c0_g1_i1.p1	2.069679
bluespottedStingray__Unknown__TRINITY_DN45315_c0_g1_i1.p1	1.193094
bluespottedStingray__Unknown__TRINITY_DN45315_c0_g1_i1.p1	1.193094
bluespottedStingray__Unknown__TRINITY_DN49010_c0_g1_i1.p1	3.171427
bluespottedStingray__Unknown__TRINITY_DN49010_c0_g1_i1.p1	3.171427
bluespottedStingray__Unknown__TRINITY_DN5071_c0_g1_i9.p1	5.210537
bluespottedStingray__Unknown__TRINITY_DN5071_c0_g1_i9.p1	5.210537
bluespottedStingray__Unknown__TRINITY_DN81789_c0_g1_i1.p1	3.814704
bluespottedStingray__Unknown__TRINITY_DN81789_c0_g1_i1.p1	3.814704
bluespottedStingray__Unknown__TRINITY_DN93101_c0_g1_i1.p1	1.648405
bluespottedStingray__Unknown__TRINITY_DN93101_c0_g1_i1.p1	1.648405
bluespottedStingray__Unknown__TRINITY_DN3460_c0_g2_i1.p1	4.500737
bluespottedStingray__Unknown__TRINITY_DN20_c12_g1_i3.p2	37.577499
bluespottedStingray__Unknown__TRINITY_DN20_c12_g1_i3.p2	37.577499
bluespottedStingray__Unknown__TRINITY_DN6522_c0_g2_i2.p1	1.154324
bluespottedStingray__Unknown__TRINITY_DN8755_c0_g1_i1.p1	2.449222
catshark__Unknown__TRINITY_DN1784_c0_g1_i1.p1	1.0
catshark__Unknown__TRINITY_DN1784_c0_g1_i1.p1	1.0
catshark__Unknown__TRINITY_DN85832_c0_g1_i1.p1	1.0
catshark__Unknown__TRINITY_DN85832_c0_g1_i1.p1	1.0
catshark__Unknown__TRINITY_DN68612_c0_g1_i1.p1	1.0
catshark__Unknown__TRINITY_DN86925_c0_g1_i1.p1	1.0
catshark__Unknown__TRINITY_DN1816_c0_g1_i1.p1	1.0
catshark__Unknown__TRINITY_DN1816_c0_g1_i1.p1	1.0
catshark__Unknown__TRINITY_DN58144_c0_g1_i1.p2	1.0
catshark__Unknown__TRINITY_DN7538_c0_g1_i1.p2	1.0
catshark__Unknown__TRINITY_DN3246_c0_g1_i1.p1	1.0
catshark__Unknown__TRINITY_DN33891_c0_g1_i1.p1	1.0
catshark__Unknown__TRINITY_DN50368_c1_g1_i1.p1	1.0
catshark__Unknown__TRINITY_DN4533_c0_g1_i2.p3	1.0
catshark__Unknown__TRINITY_DN4839_c0_g1_i1.p1	1.0
reefShark__Unknown__TRINITY_DN2645_c0_g1_i1.p1	1.57181
