OrganismOrder181	OrganismShortName	OrganismID	OrganismCommonName	OrganismScientificName	OrganismColor	IsVertebrate	Representative	Datasets	OrganismOrder50	annotated50	bulkrna107	scrna35	hahnscrna17	liscrna24	near29	AnnotationSource	AnnotationRelease	AnnotationName	AnnotationComment	SurrogateID	SurrogateShortName	SurrogateAnnotationSource	SurrogateAnnotationRelease	SurrogateAnnotationName
32	bluespottedStingray	Neotrygon_kuhlii	Blue-spotted stingray	Neotrygon kuhlii	Cartilaginous fishes	Yes	Yes	bulkrna107		No	Yes	No	No	No	No	GCF Near	GCF_048418815.1	sHemAka1.3		Hemitrygon_akajei	redStingray	GCF	GCF_048418815.1	sHemAka1.3
33	redStingray	Hemitrygon_akajei	Red stingray	Hemitrygon akajei	Cartilaginous fishes	Yes	Yes	near29		No	No	No	No	No	Yes	GCF	GCF_048418815.1	sHemAka1.3		Hemitrygon_akajei	redStingray	GCF	GCF_048418815.1	sHemAka1.3
34	catshark	Scyliorhinus_torazame	Cloudy catshark	Scyliorhinus torazame	Cartilaginous fishes	Yes	Yes	bulkrna107		No	Yes	No	No	No	No	GCF	GCF_047496885.1	sScyTor2.1		Scyliorhinus_torazame	catshark	GCF	GCF_047496885.1	sScyTor2.1
35	reefShark	Carcharhinus_amblyrhynchos	Grey reef shark	Carcharhinus amblyrhynchos	Cartilaginous fishes	Yes	Yes	bulkrna107		No	Yes	No	No	No	No	GCF Near	GCF_030264375.1	sScyTor2.1		Scyliorhinus_torazame	catshark	GCF	GCF_047496885.1	sScyTor2.1
36	bambooShark	Chiloscyllium_punctatum	Brownbanded bamboo shark	Chiloscyllium punctatum	Cartilaginous fishes	Yes	Yes	bulkrna107		No	Yes	No	No	No	No	GCF	GCF_047496795.1	sChiPun1.3		Chiloscyllium_punctatum	bambooShark	GCF	GCF_047496795.1	sChiPun1.3
37	nurseShark	Ginglymostoma_cirratum	Nurse shark	Ginglymostoma cirratum	Cartilaginous fishes	Yes	Yes	bulkrna107		No	Yes	No	No	No	No	GCF Near	GCF_030684315.1	sSteTig4.hap1		Stegostoma_tigrinum	zebraShark	GCF	GCF_030684315.1	sSteTig4.hap1
38	zebraShark	Stegostoma_tigrinum	Zebra shark	Stegostoma tigrinum	Cartilaginous fishes	Yes	Yes	near29		No	No	No	No	No	Yes	GCF	GCF_030684315.1	sSteTig4.hap1		Stegostoma_tigrinum	zebraShark	GCF	GCF_030684315.1	sSteTig4.hap1
39	whaleShark	Rhincodon_typus	Whale shark	Rhincodon typus	Cartilaginous fishes	Yes	Yes	annotated50	14.0	Yes	No	No	No	No	No	GCF	GCF_021869965.1	sRhiTyp1.1		Rhincodon_typus	whaleShark	GCF	GCF_021869965.1	sRhiTyp1.1
40	bowfin	Amia_calva	Bowfin	Amia calva	Non-teleost ray-finned fishes	Yes	Yes	bulkrna107		No	Yes	No	No	No	No	GCF Near	GCF_040954835.1	fLepOcu1.hap2		Lepisosteus_oculatus	spottedGar	GCF	GCF_040954835.1	fLepOcu1.hap2
41	spottedGar	Lepisosteus_oculatus	Spotted gar	Lepisosteus oculatus	Non-teleost ray-finned fishes	Yes	Yes	annotated50,bulkrna107	15.0	Yes	Yes	No	No	No	No	GCF	GCF_040954835.1	fLepOcu1.hap2		Lepisosteus_oculatus	spottedGar	GCF	GCF_040954835.1	fLepOcu1.hap2
42	floridaGar	Lepisosteus_platyrhincus	Florida gar	Lepisosteus platyrhincus	Non-teleost ray-finned fishes	Yes	Yes	bulkrna107		No	Yes	No	No	No	No	GCF Near	GCF_040954835.1	fLepOcu1.hap2		Lepisosteus_oculatus	spottedGar	GCF	GCF_040954835.1	fLepOcu1.hap2
43	americanEel	Anguilla_rostrata	American eel	Anguilla rostrata	Teleost ray-finned fishes	Yes	No	near29		No	No	No	No	No	Yes	GCF	GCF_018555375.3	ASM1855537v3		Anguilla_rostrata	americanEel	GCF	GCF_018555375.3	ASM1855537v3
