OrganismShortName	OrganismID	SurrogateID	AnnotationSource	AnnotationRelease	AnnotationName	AnnotationComment
borealOwl	Aegolius_funereus	Athene_noctua	GCF Near	GCF_965140245.1	bAthNoc1.hap1.1	
littleOwl	Athene_noctua		GCF	GCF_965140245.1	bAthNoc1.hap1.1	
orientalScopsOwl	Otus_sunia		Ensembl		OtuSun1.0	
eurasianScopsOwl	Otus_scops	Otus_sunia	GCA	GCA_039877175.1	ASM3987717v1	
indianScopsOwl	Otus_bakkamoena	Otus_sunia	NoGenome			
shortearOwl	Asio_flammeus	Otus_sunia	NoGenome			
longearOwl	Asio_otus	Otus_sunia	NoGenome			
screechOwl	Megascops_asio	Otus_sunia	GCA	GCA_040967475.1	ASM4096747v1	
barredOwl	Strix_varia	Strix_uralensis	GCF Near	GCF_047716275.1	bStrUra1	
uralOwl	Strix_uralensis		GCF	GCF_047716275.1	bStrUra1	
tawnyOwl	Strix_aluco		GCF	GCF_031877795.1	bStrAlu1.hap1	
eagleOwl	Bubo_bubo		Ensembl	GCA_010303855.1	BubBub1.0	
hornedOwl	Bubo_virginianus	Bubo_bubo	GCA	GCA_044758155.1	ASM4475815v1	
mousebird	Colius_striatus		GCF	GCF_028858725.1	bColStr4.1.hap1	
hoopoe	Upupa_epops	Colius_striatus	GCF Near			
honeyguide	Indicator_indicator		GCF	GCF_027791375.1	UM_Iind_1.1	
woodpecker	Picus_canus	Indicator_indicator	GCF Near			
budgerigar	Melopsittacus_undulatus		GCF	GCF_012275295.1	bMelUnd1.mat.Z	
commonKestrel	Falco_tinnunculus		Ensembl	GCA_010332995.1	FalTin1.0	
peregrineFalcon	Falco_peregrinus		GCF	GCF_023634155.1	bFalPer1.pri	
eurasianHobby	Falco_subbuteo	Falco_peregrinus	GCF Near			
hawaiianCrow	Corvus_hawaiiensis		GCF	GCF_020740725.1	bCorHaw1.pri.cur	
carrionCrow	Corvus_corone	Corvus_hawaiiensis	GCF Near			
hoodedCrow	Corvus_cornix		GCF	GCF_000738735.6	ASM73873v6	
whiteWagtail	Motacilla_alba		GCF	GCF_015832195.1	Motacilla_alba_V1.0_pri	
canary	Serinus_canaria		GCF	GCF_022539315.1	serCan2020	
zebrafinch	Taeniopygia_guttata		GCF	GCF_048771995.1	bTaeGut7.mat	Orig paper used GCF_003957565.2_bTaeGut1.4.pri
platypus	Ornithorhynchus_anatinus		GCF	GCF_004115215.2	mOrnAna1.pri.v4	
opossum	Monodelphis_domestica		GCF	GCF_027887165.1	mMonDom1.pri	Orig paper used GCA_000002295.1_ASM229v1
europeanHedgehog	Erinaceus_europaeus		GCF	GCF_950295315.1	mEriEur2.1	
africanHedgehog	Atelerix_algirus	Erinaceus_europaeus	GCF Near			
sacwingedBat	Saccopteryx_bilineata		GCF	GCF_036850765.1	mSacBil1_pri_phased_curated	
tombBat	Taphozous_melanopogon	Saccopteryx_bilineata	GCF Near			
daubentonBat	Myotis_daubentonii		GCF	GCF_963259705.1	mMyoDau2.1	
myotisBat	Myotis_laniger	Myotis_daubentonii	GCF Near			
