OrganismOrder181	ShortName	OrganismShortName	OrganismCommonName	OrganismScientificName	OrganismColor	IsVertebrate
92	duck	mallardDuck	Duck	Anas platyrhynchos	Birds	Yes
93	muscovyDuck	muscovyDuck	Muscovy duck	Cairina moschata	Birds	Yes
94	quail	quail	Japanese quail	Coturnix japonica	Birds	Yes
95	chicken	chicken	Chicken	Gallus gallus domesticus	Birds	Yes
96	sunangel	sunangel	Tourmaline sunangel	Heliangelus exortis	Birds	Yes
97	redStreamertail	redStreamertail	Red-billed streamertail	Trochilus polytmus	Birds	Yes
98	blackStreamertail	blackStreamertail	Black-billed streamertail	Trochilus scitulus	Birds	Yes
99	hybridStreamertail	hybridStreamertail	Hybrid streamertail	Trochilus hybrid	Birds	Yes
100	pigeon	pigeon	Rock dove	Columba livia	Birds	Yes
101	kite	kite	Black-winged kite	Elanus caeruleus	Birds	Yes
102	goldenEagle	goldenEagle	Gilden eagle	Aquila chrysaetos chrysaetos	Birds	Yes
103	vulture	vulture	Cinereous vulture	Aegypius monachus	Birds	Yes
104	harpyEagle	harpyEagle	Harpy eagle	Harpia harpyja	Birds	Yes
105	harrier	harrier	Pied harrier	Circus melanoleucos	Birds	Yes
106	buzzard	greyfacedBuzzard	Grey-faced buzzard	Butastur indicus	Birds	Yes
107	commonBuzzard	commonBuzzard	Common buzzard	Buteo buteo	Birds	Yes
108	redTailHawk	redTailHawk	Red-tailed hawk	Buteo jamaicensis	Birds	Yes
109	gosHwak	gosHwak	Northern goshawk	Astur gentilis	Birds	Yes
110	coopersHawk	coopersHawk	Cooper's hawk	Accipiter cooperii	Birds	Yes
111	besra	besra	Besra	Accipiter virgatus	Birds	Yes
112	sparrowHawk	sparrowHawk	Eurasian sparrowhawk	Accipiter nisus	Birds	Yes
113	barnOwl	barnOwl	Barn owl	Tyto alba	Birds	Yes
114	grassOwl	grassOwl	Eastern grass owl	Tyto longimembris	Birds	Yes
115	borealOwl	borealOwl	Boreal owl	Aegolius funereus	Birds	Yes
116	littleOwl	littleOwl	Little owl	Athene noctua	Birds	Yes
117	orientalScopsOwl	orientalScopsOwl	Oriental scops owl	Otus sunia	Birds	Yes
118	eurasianScopsOwl	eurasianScopsOwl	Eurasian scops owl	Otus scops	Birds	Yes
119	indianScopsOwl	indianScopsOwl	Indian scops owl	Otus bakkamoena	Birds	Yes
