OrganismOrder149	ShortName	OrganismShortName	OrganismID	OrganismCommonName	OrganismScientificName	OrganismColor	OrganismOrder50	Datasets	annotated50	bulkrna108	hahnscrna17	liscrna24
110	eurasianHobby	eurasianHobby	Falco_subbuteo	Eurasian hobby	Falco subbuteo	Birds		bulkrna108	No	Yes	No	No
111	carrionCrow	carrionCrow	Corvus_corone	Carrion crow	Corvus corone corone	Birds		bulkrna108	No	Yes	No	No
112	hoodedCrow	hoodedCrow	Corvus_cornix	Hooded crow	Corvus cornix cornix	Birds		bulkrna108	No	Yes	No	No
113	whiteWagtail	whiteWagtail	Motacilla_alba	White wagtail	Motacilla alba	Birds		bulkrna108	No	Yes	No	No
114	canary	canary	Serinus_canaria	Canary	Serinus canaria	Birds		"bulkrna108,liscrna24"	No	Yes	No	Yes
115	zebrafinch	zebrafinch	Taeniopygia_guttata	Zebrafinch	Taeniopygia guttata	Birds		bulkrna108	No	Yes	No	No
116	platypus	platypus	Ornithorhynchus_anatinus	platypus	Ornithorhynchus anatinus	Mammals	39	annotated50	Yes	No	No	No
117	opossum	opossum	Monodelphis_domestica	Gray short-tailed opossum	Monodelphis domestica	Mammals	40	"annotated50,bulkrna108,hahnscrna17"	Yes	Yes	Yes	No
118	hedgehog	hedgehog	Atelerix_algirus	Hedgehog	Atelerix algirus	Mammals		liscrna24	No	No	No	Yes
119	tombBat	tombBat	Taphozous_melanopogon	Black-bearded tomb bat	Taphozous melanopogon	Mammals		bulkrna108	No	Yes	No	No
120	waterMyotis	myotisBat	Myotis_laniger	Chinese water myotis	Myotis laniger	Mammals		bulkrna108	No	Yes	No	No
121	roundleafBat	roundleafBat	Hipposideros_armiger	Great roundleaf bat	Hipposideros armiger	Mammals		bulkrna108	No	Yes	No	No
122	fruitBat	fruitBat	Cynopterus_sphinx	Greater short-nosed fruit bat	Cynopterus sphinx	Mammals		bulkrna108	No	Yes	No	No
123	nectarBat	nectarBat	Eonycteris_spelaea	Cave nectar bat	Eonycteris spelaea	Mammals		bulkrna108	No	Yes	No	No
124	horse	horse	Equus_caballus	Horse	Equus caballus	Mammals	41	"annotated50,bulkrna108"	Yes	Yes	No	No
125	pig	pig	Sus_scrofa	Wild boar or domestic pig	Sus scrofa domesticas 	Mammals		"bulkrna108,liscrna24"	No	Yes	No	Yes
126	whale	whale	Balaena_mysticetus	Bowhead whale	Balaena mysticetus	Mammals		bulkrna108	No	Yes	No	No
