SampleID	SampleShortID	SampleSubID	Source	RunType	OrganismID	NumberSamples	NNRL_LibraryID	SRA_BioProjectID	SRA_RunID	SRA_BioSampleID	SRA_ExperimentID	ReferencePaper	DOI
Nephrops_norvegicus_1	NENO1	1	SRA	PE	Nephrops_norvegicus	2		PRJNA293452	SRR2388552	SAMN04003013	SRX1238927	Sbragaglia_Aguzzi_2015_IdentificationCharacterizationDiel	https://doi.org/10.1371/journal.pone.0141893
Octopus_bimaculoides_0	OCBI0	0	SRA	PE	Octopus_bimaculoides	1		PRJNA285380	SRR2047116	SAMN03744434	SRX1045414	Albertin_Rokhsar_2015_OctopusGenomeEvolution	https://doi.org/10.1038/nature14668
Otus_bakkamoena_0	OTBA0	0	SRA	PE	Otus_bakkamoena	1		PRJNA314290	SRR3203243	SAMN04531388	SRX1612745	NoReferencePaper	
Otus_scops_0	OTSC0	0	SRA	PE	Otus_scops	1		PRJNA314290	SRR3203230	SAMN04531379	SRX1612733	NoReferencePaper	
Papio_anubis_0	PAAN0	0	SRA	SE	Papio_anubis	3		PRJNA386932	SRR5570468	SAMN07131844	SRX2829657	Mure_Panda_2018_DiurnalTranscriptomeAtlas	https://doi.org/10.1126/science.aao0318
Papio_anubis_1	PAAN1	1	SRA	SE	Papio_anubis	3		PRJNA386932	SRR5570467	SAMN07131845	SRX2829656	Mure_Panda_2018_DiurnalTranscriptomeAtlas	https://doi.org/10.1126/science.aao0318
Papio_anubis_2	PAAN2	2	SRA	SE	Papio_anubis	3		PRJNA386932	SRR5570466	SAMN07131846	SRX2829655	Mure_Panda_2018_DiurnalTranscriptomeAtlas	https://doi.org/10.1126/science.aao0318
Papio_anubis_3	PAAN3	3	SRA	SE	Papio_anubis	3		PRJNA386932	SRR5570461	SAMN07131851	SRX2829650	Mure_Panda_2018_DiurnalTranscriptomeAtlas	https://doi.org/10.1126/science.aao0318
Papio_anubis_4	PAAN4	4	SRA	SE	Papio_anubis	3		PRJNA386932	SRR5570462	SAMN07131850	SRX2829651	Mure_Panda_2018_DiurnalTranscriptomeAtlas	https://doi.org/10.1126/science.aao0318
Papio_anubis_5	PAAN5	5	SRA	SE	Papio_anubis	3		PRJNA386932	SRR5570463	SAMN07131849	SRX2829652	Mure_Panda_2018_DiurnalTranscriptomeAtlas	https://doi.org/10.1126/science.aao0318
Petromyzon_marinus_0	PEMA0	0	Mine	PE	Petromyzon_marinus	7	R42019-296						
Petromyzon_marinus_1	PEMA1	1	Mine	PE	Petromyzon_marinus	7	R42019-294						
Petromyzon_marinus_2	PEMA2	2	Mine	PE	Petromyzon_marinus	7	R42019-264						
Petromyzon_marinus_3	PEMA3	3	Mine	PE	Petromyzon_marinus	7	R42019-295						
Petromyzon_marinus_4	PEMA4	4	NNRL	PE	Petromyzon_marinus	7	R42015-030						
Petromyzon_marinus_5	PEMA5	5	NNRL	PE	Petromyzon_marinus	7	R42015-031						
Petromyzon_marinus_6	PEMA6	6	NNRL	PE	Petromyzon_marinus	7	R42015-032						
Picus_canus_0	PICA0	0	SRA	PE	Picus_canus	1		PRJNA314290	SRR3203240	SAMN04531385	SRX1612743	NoReferencePaper	
Plethodon_cinereus_0	PLCI0	0	Mine	PE	Plethodon_cinereus	3	R42019-255						
Plethodon_cinereus_1	PLCI1	1	Mine	PE	Plethodon_cinereus	3	R42019-256						
Plethodon_cinereus_2	PLCI2	2	Mine	PE	Plethodon_cinereus	3	R42019-254						
Psammomys_obesus_0	PSOB0	0	Mine	PE	Psammomys_obesus	3	R42019-289						
Psammomys_obesus_1	PSOB1	1	Mine	PE	Psammomys_obesus	3	R42019-290						
Psammomys_obesus_2	PSOB2	2	Mine	PE	Psammomys_obesus	3	R42019-291						
Rattus_norvegicus_0	RANO0	0	NNRL	SE	Rattus_norvegicus	3	R22011-039						
Rattus_norvegicus_1	RANO1	1	NNRL	SE	Rattus_norvegicus	3	R22011-040						
Rattus_norvegicus_2	RANO2	2	NNRL	SE	Rattus_norvegicus	3	R22011-041						
Rhinecanthus_aculeatus_0	RHAC0	0	SRA	PE	Rhinecanthus_aculeatus	3		PRJNA421052	SRR8242402	SAMN10473296 	SRX5060720	Musilova_Salzburger_2019_VisionUsingMultiple	https://doi.org/10.1126/science.aav4632
Rhinecanthus_aculeatus_1	RHAC1	1	SRA	PE	Rhinecanthus_aculeatus	3		PRJNA421052	SRR8242397	SAMN10473295	SRX5060725	Musilova_Salzburger_2019_VisionUsingMultiple	https://doi.org/10.1126/science.aav4632
Rhinecanthus_aculeatus_2	RHAC2	2	SRA	PE	Rhinecanthus_aculeatus	3		PRJNA421052	SRR8242396	SAMN10473294	SRX5060726	Musilova_Salzburger_2019_VisionUsingMultiple	https://doi.org/10.1126/science.aav4632
