SampleID	SampleShortID	SampleSubID	Source	RunType	OrganismSerial	OrganismID	OrganismName	CommonName	Category	NumberSamples	Habitat	Nocturnality	NumMacula	NumFovea	NumFoveola	GenomeAvailable	AnnotationAvailable	ZoonomiaPresence	Order	Genus	Species	NNRL_LibraryID	SRA_BioProjectID	SRA_RunID	SRA_Downloaded	SRA_BioSampleID	SRA_ExperimentID	Notes	Life stage	Sex	NocturnalityComments	GenomeAssemblyENSEMBL	GenomeAccessionENSEMBL	GenusAlternativeENSEMBL	GenomeNCBI	GenomeAccessionNCBI	GenomeAssemblyNCBI	GenomeENSEMBL	AnnotationNCBI	AnnotationENSEMBL	GenomeZoonomia	AnnotationZoonomia	ZoonomiaComment	EarlyChordateSet	SpeciesCode	ActualOrganismID	source	gtf_url	cds_url	ReferencePaper	DOI	GenomeAnnotationInRefPaper
Eptatretus_cirrhatus_1	EPCI1	1	SRA	PE	11	Eptatretus_cirrhatus	Eptatretus cirrhatus	Broadgilled hagfish	Hagfish	5		Nocturnal				Genus	Genus		Myxiniformes	Eptatretus	cirrhatus		PRJNA292033	SRR2146916		SAMN03960116	SRX1134577	Both eyes			http://genomewiki.ucsc.edu/index.php/Opsin_evolution:_key_critters_(deuterostomes)	Eburgeri_3.2	GCA_900186335.2	Eptatretus burgeri	Genus			Genus	No	Genus				x	hecirr					Lamb_Hunt_2016_EvolutionVertebratePhototransduction	https://doi.org/10.1093/molbev/msw095	
Geotria_australis_0	GEAU0	0	SRA	PE	13	Geotria_australis	Geotria australis	Pouched lamprey	Lamprey	3		Unknown				No	No		Petromyzontiformes	Geotria	australis		PRJNA292033	SRR2146917		SAMN03960117	SRX1134578								No			No	No	No					lgaust					Lamb_Hunt_2016_EvolutionVertebratePhototransduction	https://doi.org/10.1093/molbev/msw095	
Danio_rerio_0	DARE0	0	NNRL	PE	26	Danio_rerio	Danio rerio	Zebrafish	Fish	3		Unknown				Species	Species		Cypriniformes	Danio	rerio	R42017-233							adult			GRCz11	GCA_000002035.4		Species	GCF_000002035.6	GRCz11	Species	Species	Species					fdreri							
Danio_rerio_1	DARE1	1	NNRL	PE	26	Danio_rerio	Danio rerio	Zebrafish	Fish	3		Unknown				Species	Species		Cypriniformes	Danio	rerio	R42017-234							adult			GRCz11	GCA_000002035.4		Species	GCF_000002035.6	GRCz11	Species	Species	Species					fdreri							
Danio_rerio_2	DARE2	2	NNRL	PE	26	Danio_rerio	Danio rerio	Zebrafish	Fish	3		Unknown				Species	Species		Cypriniformes	Danio	rerio	R42017-235							adult			GRCz11	GCA_000002035.4		Species	GCF_000002035.6	GRCz11	Species	Species	Species					fdreri							
Geotria_australis_1	GEAU1	1	SRA	PE	13	Geotria_australis	Geotria australis	Pouched lamprey	Lamprey	3		Unknown				No	No		Petromyzontiformes	Geotria	australis		PRJNA292033	SRR2146918		SAMN03960118	SRX1134582								No			No	No	No					lgaust					Lamb_Hunt_2016_EvolutionVertebratePhototransduction	https://doi.org/10.1093/molbev/msw095	
Geotria_australis_2	GEAU2	2	SRA	PE	13	Geotria_australis	Geotria australis	Pouched lamprey	Lamprey	3		Unknown				No	No		Petromyzontiformes	Geotria	australis		PRJNA292033	SRR2146919		SAMN03960119	SRX1134583								No			No	No	No					lgaust					Lamb_Hunt_2016_EvolutionVertebratePhototransduction	https://doi.org/10.1093/molbev/msw095	
Mordacia_mordax_0	MOMO0	0	SRA	PE	12	Mordacia_mordax	Mordacia mordax	Short-headed lamprey	Lamprey	1		Unknown				No	No		Petromyzontiformes	Mordacia	mordax		PRJNA292033	SRR2146922		SAMN03960120	SRX1134586	"Both eyes, 4 individuals"							No			No	No	No					lmmord					Lamb_Hunt_2016_EvolutionVertebratePhototransduction	https://doi.org/10.1093/molbev/msw095	
Chiloscyllium_punctatum_2	CHPU2	2	SRA	PE	21	Chiloscyllium_punctatum	Chiloscyllium punctatum	Brownbanded bamboo shark	Cartilaginous fish	3		Nocturnal				Species	Species		Orectolobiformes	Chiloscyllium	punctatum		PRJNA292033	SRR2146928		SAMN03960121	SRX1134589		Juvenile		"https://www.thainationalparks.com/species/chiloscyllium-punctatum#:~:text=These%20sharks%20are%20nocturnal%20animals,for%20up%20to%2012%20hrs."				Species	GCA_003427335.1	Cpunctatum_v1.0	No	Species	No				x	ccpunc					Lamb_Hunt_2016_EvolutionVertebratePhototransduction	https://doi.org/10.1093/molbev/msw095	
Carcharhinus_amblyrhynchos_0	CAAM0	0	SRA	PE	19	Carcharhinus_amblyrhynchos	Carcharhinus amblyrhynchos	Grey reef shark	Cartilaginous fish	1		Unknown				No	No		Carcharhiniformes	Carcharhinus	amblyrhynchos		PRJNA292033	SRR2146929		SAMN03960122 	SRX1134590								No			No	No	No					ccambl					Lamb_Hunt_2016_EvolutionVertebratePhototransduction	https://doi.org/10.1093/molbev/msw095	
