"Eptatretus_cirrhatus_0"	"Eptatretus_cirrhatus_1"	"Eptatretus_cirrhatus_2"	"Eptatretus_cirrhatus_3"	"Eptatretus_cirrhatus_4"	"Geotria_australis_0"	"Geotria_australis_1"	"Geotria_australis_2"	"Lethenteron_camtschaticum_0"	"Lethenteron_camtschaticum_1"	"Mordacia_mordax_0"	"Petromyzon_marinus_0"	"Petromyzon_marinus_1"	"Petromyzon_marinus_2"	"Petromyzon_marinus_3"	"Petromyzon_marinus_4"	"Petromyzon_marinus_5"	"Petromyzon_marinus_6"
"OG0003801"	2.06403804171295	2.3463320271975	1.02309303670631	2.07793145274478	1.67631477217063	2.39203241621756	1.37965245241737	3.38951273823526	1.32010768548264	2.10842698292112	9.10367751031619	0.541999607810286	0.936567307012777	0.273543035682045	1.2649953176729	0.386194864217945	0.187102013164628	0.198293324305694
"OG0003802"	0	0	0	0	0.0606131934036554	0.45323755772909	0.147932933485293	0.515478480155607	0.779012337577145	0.527467279817378	2.32298785378562	0	0	1.95207684062403	0	0	0	0
"OG0003803"	11.0940304546195	12.4515519022161	9.69283604248978	15.1956977508423	13.4258154300785	0.15107924901818	0	0	0.436475512429175	0.759822633358911	0.829637334873082	2.22943228407821	0.963557647941163	0.390415368124807	1.56730516963839	0.661701999819427	0.481365039313292	0.169946437195213
"OG0003804"	3.905165278375	5.94457438872716	6.97479837014345	1.31024472875263	0.947702101060298	2.22461191950925	2.0330255298953	0.383184662008351	1.4014149094757	0.703072991944587	1.82581541554551	0.638238634505802	0.157634218735896	0.459809155355677	0.236693031106916	0	0.294427834074818	0.667235069922427
"OG0003805"	32.6144527861135	77.4503776361858	47.2894564080156	58.3037125164954	57.7537321240522	72.3459881314761	103.875923944016	211.129320337802	90.9901719637912	123.612086659863	171.158679389649	5.40574825092671	46.6270467235923	4.28211986722989	164.061375044181	156.280152309899	125.488341072054	105.734429437867
"OG0003806"	40.8897636808939	40.489545471999	39.2091537803806	45.2093020346752	41.6425212755827	18.9970483252967	21.3635863499124	9.6795755213771	42.5948101262473	75.7899784894395	26.8128030727672	16.5447874332055	1.69552794829684	27.8494099694482	26.829500706511	20.3311180959599	17.1209111785809	17.8913642564109
"OG0003807"	51.0148530718334	51.692551020099	38.9442705681931	44.6357440457672	49.1258859453338	115.276670198185	126.988459837473	83.4576027723614	71.6371649057465	136.283067001536	102.284607201324	32.2706774727719	15.2597763026493	49.5895311811233	68.7999566039824	87.925690672463	75.0108778896461	100.343101120611
"OG0003808"	12.6586819998422	6.03538826272048	11.9135721047632	4.48404678674579	4.38925991906964	11.3989067802942	9.89699901728228	4.34109295865657	11.8614910453716	16.4722311012785	260.775586549401	0.395965347499171	2.04712065172284	2.00646398837753	5.10652140491222	3.17953125049809	1.97397167551646	2.0967142480255
"OG0003809"	69.6098238297687	44.5473211228765	62.3903188674716	43.7755604365599	57.5776486395805	56.0083376249204	58.072721400794	21.1690763107137	18.741687853311	22.9027013176827	55.5489886468318	5.73336689082677	1.13035421716557	6.68384972332066	2.5963429729576	5.08276058358466	2.90169532982848	2.77624970391689
"OG0003810"	55.0381130143326	54.1093778011931	54.7206447037287	62.3624527722641	55.7017359009494	47.3397310449315	51.5103936208403	62.8401248718904	47.0628263009538	76.1326698450425	56.6274598751053	13.6304936742085	28.5075371846941	20.290183346497	58.2572745082555	25.855060246142	32.8523236797587	34.2717529221827
"OG0003812"	8.08372361549495	5.03159015809889	10.215814178468	1.24971715234268	4.388293905509	0	0	0.232553620357382	0.696310754489163	0.879839111598027	4.76625835911896	12.3017454352749	0.586485450234223	13.6019885465119	0.219631224049338	0	0	0
"OG0003813"	267.037531940427	289.122886299671	241.556693749936	252.69741679029	240.797222019995	0	1.26189739225771	0	556.081132896235	253.875101264798	0	55.1742495571221	214.304928148115	80.0978298436451	221.484040616281	299.941881911344	349.837250747351	308.62720210584
"OG0003814"	290.995222895771	82.5133377592891	1285.69482413367	84.150263716512	325.687803564989	3.06082457342905	4.7145486100114	39.944974333602	51.4191367932859	132.952362478882	62.268733849692	88.6561008534021	2.28354000661894	74.6768872294327	8.06704490180664	0.493788812916052	0.300516571346619	0.635091424720104
"OG0003815"	0.270502676261619	0.304103131936392	0.398282876715889	0.351076507586429	0.0813670776525968	0.11782555875092	0.0576490933820955	6.29206084006132	3.48101748048623	8.23546540720351	2.12329398841779	10.8236283276586	1.68648313312128	10.4281839945367	0.845518581895903	0.320806091243542	0.437297994058548	0.264058511440973
"OG0003816"	622.316584888185	202.895578463502	3405.4253540028	177.434265093589	811.549215098479	3.64343578514508	5.48495970860736	64.1719757342285	89.7273652865506	449.333790359177	290.80069394945	135.158491242343	7.24990233877154	119.871926468857	35.0830583205947	4.82188085242486	3.50671209373677	3.76815458147751
"OG0003817"	4.11141660824098	3.25564646122647	1.84066189440275	3.96569735856281	3.84886092802796	1.93104431501762	1.61979626843024	1.91404872854989	9.57309213809497	9.63690671677581	1.5446170223563	4.99806778216374	6.11168497854666	5.78559485069834	5.31830971409072	3.65700804520897	2.55971888305892	2.58713409396086
"OG0003818"	0.911008782841957	0.755590732036226	0.371821848615431	1.22817244569129	0.942175036131047	0	0.251432107529087	0.331833476673854	2.41354621132605	0.140303317592408	0	6.81757987811175	0.820659925685462	0.668319952230345	0	0	0	0
